Berichtsdatum,Faelle_gesamt,Todesfaelle_gesamt,Todesfaelle_neu,Fall-Verstorbenen-Anteil
2023-12-22,38746957,179716,106,0.0046
2023-12-23,38751299,179854,138,0.0046
2023-12-24,38751299,179854,0,0.0046
2023-12-25,38751300,179854,0,0.0046
2023-12-26,38751300,179854,0,0.0046
2023-12-27,38751300,179854,0,0.0046
2023-12-28,38758005,179937,83,0.0046
2023-12-29,38762418,180030,93,0.0046
2023-12-30,38765656,180109,79,0.0046
2023-12-31,38765657,180109,0,0.0046
2024-01-01,38765659,180109,0,0.0046
2024-01-02,38765659,180109,0,0.0046
2024-01-03,38771210,180215,106,0.0046
2024-01-04,38775696,180339,124,0.0047
2024-01-05,38778685,180462,123,0.0047
2024-01-06,38780921,180578,116,0.0047
2024-01-07,38780921,180578,0,0.0047
2024-01-08,38780921,180578,0,0.0047
2024-01-09,38784494,180657,79,0.0047
2024-01-10,38786596,180789,132,0.0047
2024-01-11,38788696,180875,86,0.0047
2024-01-12,38790256,180956,81,0.0047
2024-01-13,38791727,181044,88,0.0047
2024-01-14,38791727,181044,0,0.0047
2024-01-15,38791727,181044,0,0.0047
2024-01-16,38793736,181125,81,0.0047
2024-01-17,38795352,181205,80,0.0047
2024-01-18,38796602,181284,79,0.0047
2024-01-19,38797637,181335,51,0.0047
2024-01-20,38798714,181425,90,0.0047
2024-01-21,38798714,181425,0,0.0047
2024-01-22,38798714,181425,0,0.0047
2024-01-23,38800361,181477,52,0.0047
2024-01-24,38801796,181537,60,0.0047
2024-01-25,38802657,181588,51,0.0047
2024-01-26,38803872,181646,58,0.0047
2024-01-27,38805188,181700,54,0.0047
2024-01-28,38805188,181700,0,0.0047
2024-01-29,38805188,181700,0,0.0047
2024-01-30,38806578,181750,50,0.0047
2024-01-31,38807773,181802,52,0.0047
2024-02-01,38808771,181845,43,0.0047
2024-02-02,38809615,181918,73,0.0047
2024-02-03,38810419,181956,38,0.0047
2024-02-04,38810419,181956,0,0.0047
2024-02-05,38810419,181956,0,0.0047
2024-02-06,38811632,182026,70,0.0047
2024-02-07,38811957,182037,11,0.0047
2024-02-08,38813442,182135,98,0.0047
2024-02-09,38814063,182168,33,0.0047
2024-02-10,38814825,182214,46,0.0047
2024-02-11,38814825,182214,0,0.0047
2024-02-12,38814825,182214,0,0.0047
2024-02-13,38815522,182243,29,0.0047
2024-02-14,38816248,182282,39,0.0047
2024-02-15,38816875,182309,27,0.0047
2024-02-16,38817481,182358,49,0.0047
2024-02-17,38817958,182375,17,0.0047
2024-02-18,38817958,182375,0,0.0047
2024-02-19,38817958,182375,0,0.0047
2024-02-20,38818710,182411,36,0.0047
2024-02-21,38819284,182439,28,0.0047
2024-02-22,38819650,182470,31,0.0047
2024-02-23,38820058,182508,38,0.0047
2024-02-24,38820489,182541,33,0.0047
2024-02-25,38820489,182541,0,0.0047
2024-02-26,38820489,182541,0,0.0047
2024-02-27,38820985,182547,6,0.0047
2024-02-28,38821418,182587,40,0.0047
2024-02-29,38821636,182601,14,0.0047
2024-03-01,38822185,182630,29,0.0047
2024-03-02,38822474,182649,19,0.0047
2024-03-03,38822474,182649,0,0.0047
2024-03-04,38822475,182649,0,0.0047
2024-03-05,38822926,182669,20,0.0047
2024-03-06,38823286,182694,25,0.0047
2024-03-07,38823578,182719,25,0.0047
2024-03-08,38823847,182736,17,0.0047
2024-03-09,38823847,182736,0,0.0047
2024-03-10,38823847,182736,0,0.0047
2024-03-11,38823847,182736,0,0.0047
2024-03-12,38824393,182749,13,0.0047
2024-03-13,38824637,182777,28,0.0047
2024-03-14,38824874,182797,20,0.0047
2024-03-15,38825078,182809,12,0.0047
2024-03-16,38825281,182828,19,0.0047
2024-03-17,38825281,182828,0,0.0047
2024-03-18,38825281,182828,0,0.0047
2024-03-19,38825566,182838,10,0.0047
2024-03-20,38825818,182855,17,0.0047
2024-03-21,38826003,182867,12,0.0047
2024-03-22,38826187,182884,17,0.0047
2024-03-23,38826304,182891,7,0.0047
2024-03-24,38826304,182891,0,0.0047
2024-03-25,38826304,182891,0,0.0047
2024-03-26,38826544,182881,-10,0.0047
2024-03-27,38826746,182896,15,0.0047
2024-03-28,38826911,182905,9,0.0047
2024-03-29,38827040,182917,12,0.0047
2024-03-30,38827040,182917,0,0.0047
2024-03-31,38827040,182917,0,0.0047
2024-04-01,38827040,182917,0,0.0047
