Datum,Altersgruppe,Todesfaelle,Todesfaelle_gesamt
2022-W43,80+,756,98958
2022-W44,00-04,0,39
2022-W44,00+,990,154344
2022-W44,05-14,2,35
2022-W44,15-34,1,437
2022-W44,35-59,26,7718
2022-W44,60-79,288,46475
2022-W44,80+,673,99631
2022-W45,00-04,0,39
2022-W45,00+,1059,155403
2022-W45,05-14,0,35
2022-W45,15-34,2,439
2022-W45,35-59,34,7752
2022-W45,60-79,291,46766
2022-W45,80+,732,100363
2022-W46,00-04,1,40
2022-W46,00+,1043,156446
2022-W46,05-14,1,36
2022-W46,15-34,2,441
2022-W46,35-59,27,7779
2022-W46,60-79,280,47046
2022-W46,80+,731,101094
2022-W47,00-04,1,41
2022-W47,00+,881,157327
2022-W47,05-14,0,36
2022-W47,15-34,1,442
2022-W47,35-59,34,7813
2022-W47,60-79,224,47270
2022-W47,80+,621,101715
2022-W48,00-04,0,41
2022-W48,00+,696,158023
2022-W48,05-14,1,37
2022-W48,15-34,1,443
2022-W48,35-59,26,7839
2022-W48,60-79,200,47470
2022-W48,80+,468,102183
2022-W49,00-04,0,41
2022-W49,00+,780,158803
2022-W49,05-14,0,37
2022-W49,15-34,0,443
2022-W49,35-59,16,7855
2022-W49,60-79,207,47677
2022-W49,80+,557,102740
2022-W50,00-04,0,41
2022-W50,00+,928,159731
2022-W50,05-14,0,37
2022-W50,15-34,2,445
2022-W50,35-59,36,7891
2022-W50,60-79,254,47931
2022-W50,80+,636,103376
2022-W51,00-04,1,42
2022-W51,00+,874,160605
2022-W51,05-14,0,37
2022-W51,15-34,3,448
2022-W51,35-59,39,7930
2022-W51,60-79,237,48168
2022-W51,80+,594,103970
2022-W52,00-04,1,43
2022-W52,00+,699,161304
2022-W52,05-14,0,37
2022-W52,15-34,0,448
2022-W52,35-59,18,7948
2022-W52,60-79,196,48364
2022-W52,80+,484,104454
2023-W01,00-04,0,43
2023-W01,00+,1222,162526
2023-W01,05-14,0,37
2023-W01,15-34,2,450
2023-W01,35-59,46,7994
2023-W01,60-79,343,48707
2023-W01,80+,831,105285
2023-W02,00-04,1,44
2023-W02,00+,1087,163613
2023-W02,05-14,0,37
2023-W02,15-34,4,454
2023-W02,35-59,44,8038
2023-W02,60-79,291,48998
2023-W02,80+,746,106031
2023-W03,00-04,1,45
2023-W03,00+,929,164542
2023-W03,05-14,0,37
2023-W03,15-34,0,454
2023-W03,35-59,39,8077
2023-W03,60-79,248,49246
2023-W03,80+,641,106672
2023-W04,00-04,0,45
2023-W04,00+,746,165288
2023-W04,05-14,0,37
2023-W04,15-34,3,457
2023-W04,35-59,27,8104
2023-W04,60-79,224,49470
2023-W04,80+,492,107164
2023-W05,00-04,0,45
2023-W05,00+,681,165969
2023-W05,05-14,0,37
2023-W05,15-34,1,458
2023-W05,35-59,33,8137
2023-W05,60-79,227,49697
2023-W05,80+,420,107584
2023-W06,00-04,1,46
2023-W06,00+,631,166600
2023-W06,05-14,0,37
2023-W06,15-34,1,459
2023-W06,35-59,24,8161
2023-W06,60-79,176,49873
2023-W06,80+,429,108013
2023-W07,00-04,0,46
2023-W07,00+,542,167142
2023-W07,05-14,0,37
2023-W07,15-34,2,461
2023-W07,35-59,23,8184
2023-W07,60-79,148,50021
2023-W07,80+,369,108382
2023-W08,00-04,0,46
2023-W08,00+,527,167669
2023-W08,05-14,0,37
2023-W08,15-34,3,464
2023-W08,35-59,19,8203
2023-W08,60-79,146,50167
2023-W08,80+,359,108741
2023-W09,00-04,1,47
2023-W09,00+,582,168251
2023-W09,05-14,0,37
2023-W09,15-34,1,465
2023-W09,35-59,25,8228
2023-W09,60-79,161,50328
2023-W09,80+,394,109135
2023-W10,00-04,1,48
2023-W10,00+,654,168905
2023-W10,05-14,0,37
2023-W10,15-34,0,465
2023-W10,35-59,22,8250
2023-W10,60-79,166,50494
2023-W10,80+,465,109600
2023-W11,00-04,2,50
2023-W11,00+,607,169512
2023-W11,05-14,0,37
2023-W11,15-34,1,466
2023-W11,35-59,15,8265
2023-W11,60-79,184,50678
2023-W11,80+,405,110005
2023-W12,00-04,1,51
2023-W12,00+,683,170195
2023-W12,05-14,3,40
2023-W12,15-34,1,467
2023-W12,35-59,18,8283
2023-W12,60-79,216,50894
2023-W12,80+,444,110449
2023-W13,00-04,0,51
2023-W13,00+,634,170829
2023-W13,05-14,0,40
2023-W13,15-34,0,467
2023-W13,35-59,25,8308
2023-W13,60-79,148,51042
2023-W13,80+,461,110910
2023-W14,00-04,0,51
2023-W14,00+,444,171273
2023-W14,05-14,0,40
2023-W14,15-34,2,469
2023-W14,35-59,15,8323
2023-W14,60-79,154,51196
2023-W14,80+,273,111183
2023-W15,00-04,0,51
2023-W15,00+,572,171845
2023-W15,05-14,0,40
2023-W15,15-34,1,470
2023-W15,35-59,19,8342
2023-W15,60-79,159,51355
2023-W15,80+,393,111576
2023-W16,00-04,0,51
2023-W16,00+,538,172383
2023-W16,05-14,0,40
2023-W16,15-34,0,470
2023-W16,35-59,22,8364
2023-W16,60-79,138,51493
2023-W16,80+,377,111953
2023-W17,00-04,0,51
2023-W17,00+,515,172898
2023-W17,05-14,0,40
2023-W17,15-34,0,470
2023-W17,35-59,24,8388
2023-W17,60-79,145,51638
2023-W17,80+,346,112299
2023-W18,00-04,0,51
2023-W18,00+,361,173259
2023-W18,05-14,0,40
2023-W18,15-34,0,470
2023-W18,35-59,14,8402
2023-W18,60-79,121,51759
2023-W18,80+,226,112525
2023-W19,00-04,0,51
2023-W19,00+,421,173680
2023-W19,05-14,0,40
2023-W19,15-34,1,471
2023-W19,35-59,14,8416
2023-W19,60-79,135,51894
2023-W19,80+,271,112796
2023-W20,00-04,0,51
2023-W20,00+,198,173878
2023-W20,05-14,0,40
2023-W20,15-34,0,471
2023-W20,35-59,7,8423
2023-W20,60-79,64,51958
2023-W20,80+,127,112923
2023-W21,00-04,0,51
2023-W21,00+,244,174122
2023-W21,05-14,0,40
2023-W21,15-34,0,471
2023-W21,35-59,5,8428
2023-W21,60-79,80,52038
2023-W21,80+,159,113082
2023-W22,00-04,0,51
2023-W22,00+,149,174271
2023-W22,05-14,0,40
2023-W22,15-34,0,471
2023-W22,35-59,6,8434
2023-W22,60-79,42,52080
2023-W22,80+,101,113183
2023-W23,00-04,0,51
2023-W23,00+,129,174400
2023-W23,05-14,0,40
2023-W23,15-34,0,471
2023-W23,35-59,5,8439
2023-W23,60-79,55,52135
2023-W23,80+,69,113252
2023-W24,00-04,0,51
2023-W24,00+,168,174568
2023-W24,05-14,0,40
2023-W24,15-34,0,471
2023-W24,35-59,7,8446
2023-W24,60-79,62,52197
2023-W24,80+,99,113351
2023-W25,00-04,0,51
2023-W25,00+,124,174692
2023-W25,05-14,0,40
2023-W25,15-34,0,471
2023-W25,35-59,5,8451
2023-W25,60-79,41,52238
2023-W25,80+,78,113429
2023-W26,00-04,0,51
2023-W26,00+,154,174846
2023-W26,05-14,0,40
2023-W26,15-34,1,472
2023-W26,35-59,6,8457
2023-W26,60-79,45,52283
2023-W26,80+,102,113531
2023-W27,00-04,0,51
2023-W27,00+,90,174936
2023-W27,05-14,0,40
2023-W27,15-34,0,472
2023-W27,35-59,6,8463
2023-W27,60-79,26,52309
2023-W27,80+,58,113589
2023-W28,00-04,0,51
2023-W28,00+,86,175022
2023-W28,05-14,0,40
2023-W28,15-34,0,472
2023-W28,35-59,5,8468
2023-W28,60-79,25,52334
2023-W28,80+,56,113645
2023-W29,00-04,0,51
2023-W29,00+,79,175101
2023-W29,05-14,0,40
2023-W29,15-34,1,473
2023-W29,35-59,3,8471
2023-W29,60-79,32,52366
2023-W29,80+,43,113688
2023-W30,00-04,0,51
2023-W30,00+,70,175171
2023-W30,05-14,0,40
2023-W30,15-34,1,474
2023-W30,35-59,2,8473
2023-W30,60-79,24,52390
2023-W30,80+,43,113731
2023-W31,00-04,0,51
2023-W31,00+,63,175234
2023-W31,05-14,0,40
2023-W31,15-34,0,474
2023-W31,35-59,3,8476
2023-W31,60-79,20,52410
2023-W31,80+,40,113771
2023-W32,00-04,0,51
2023-W32,00+,35,175269
2023-W32,05-14,0,40
2023-W32,15-34,0,474
2023-W32,35-59,0,8476
2023-W32,60-79,10,52420
2023-W32,80+,25,113796
2023-W33,00-04,0,51
2023-W33,00+,42,175311
2023-W33,05-14,0,40
2023-W33,15-34,0,474
2023-W33,35-59,2,8478
2023-W33,60-79,12,52432
2023-W33,80+,28,113824
2023-W34,00-04,0,51
2023-W34,00+,41,175352
2023-W34,05-14,0,40
2023-W34,15-34,0,474
2023-W34,35-59,2,8480
2023-W34,60-79,15,52447
2023-W34,80+,24,113848
2023-W35,00-04,0,51
2023-W35,00+,122,175474
2023-W35,05-14,0,40
2023-W35,15-34,1,475
2023-W35,35-59,2,8482
2023-W35,60-79,28,52475
2023-W35,80+,91,113939
2023-W36,00-04,0,51
2023-W36,00+,88,175562
2023-W36,05-14,0,40
2023-W36,15-34,1,476
2023-W36,35-59,2,8484
2023-W36,60-79,29,52504
2023-W36,80+,56,113995
2023-W37,00-04,0,51
2023-W37,00+,222,175784
2023-W37,05-14,0,40
2023-W37,15-34,3,479
2023-W37,35-59,11,8495
2023-W37,60-79,72,52576
2023-W37,80+,136,114131
2023-W38,00-04,0,51
2023-W38,00+,129,175913
2023-W38,05-14,0,40
2023-W38,15-34,0,479
2023-W38,35-59,6,8501
2023-W38,60-79,34,52610
2023-W38,80+,89,114220
2023-W39,00-04,0,51
2023-W39,00+,116,176029
2023-W39,05-14,0,40
2023-W39,15-34,1,480
2023-W39,35-59,2,8503
2023-W39,60-79,34,52644
2023-W39,80+,79,114299
2023-W40,00-04,0,51
2023-W40,00+,101,176130
2023-W40,05-14,0,40
2023-W40,15-34,0,480
2023-W40,35-59,1,8504
2023-W40,60-79,33,52677
2023-W40,80+,67,114366
2023-W41,00-04,0,51
2023-W41,00+,149,176279
2023-W41,05-14,0,40
2023-W41,15-34,1,481
2023-W41,35-59,3,8507
2023-W41,60-79,44,52721
2023-W41,80+,101,114467
2023-W42,00-04,0,51
2023-W42,00+,179,176458
2023-W42,05-14,0,40
2023-W42,15-34,0,481
2023-W42,35-59,5,8512
2023-W42,60-79,44,52765
2023-W42,80+,130,114597
2023-W43,00-04,0,51
2023-W43,00+,225,176683
2023-W43,05-14,0,40
2023-W43,15-34,0,481
2023-W43,35-59,5,8517
2023-W43,60-79,52,52817
2023-W43,80+,168,114765
2023-W44,00-04,0,51
2023-W44,00+,241,176924
2023-W44,05-14,0,40
2023-W44,15-34,1,482
2023-W44,35-59,9,8526
2023-W44,60-79,69,52886
2023-W44,80+,162,114927
2023-W45,00-04,0,51
2023-W45,00+,373,177297
2023-W45,05-14,0,40
2023-W45,15-34,1,483
2023-W45,35-59,12,8538
2023-W45,60-79,120,53006
2023-W45,80+,240,115167
2023-W46,00-04,0,51
2023-W46,00+,376,177673
2023-W46,05-14,1,41
2023-W46,15-34,1,484
2023-W46,35-59,8,8546
2023-W46,60-79,91,53097
2023-W46,80+,275,115442
2023-W47,00-04,0,51
2023-W47,00+,346,178019
2023-W47,05-14,0,41
2023-W47,15-34,1,485
2023-W47,35-59,14,8560
2023-W47,60-79,107,53204
2023-W47,80+,224,115666
2023-W48,00-04,1,52
2023-W48,00+,363,178382
2023-W48,05-14,0,41
2023-W48,15-34,3,488
2023-W48,35-59,9,8569
2023-W48,60-79,119,53323
2023-W48,80+,231,115897
2023-W49,00-04,1,53
2023-W49,00+,422,178804
2023-W49,05-14,0,41
2023-W49,15-34,0,488
2023-W49,35-59,9,8578
2023-W49,60-79,132,53455
2023-W49,80+,280,116177
2023-W50,00-04,1,54
2023-W50,00+,438,179242
2023-W50,05-14,0,41
2023-W50,15-34,0,488
2023-W50,35-59,11,8589
2023-W50,60-79,127,53582
2023-W50,80+,299,116476
2023-W51,00-04,0,54
2023-W51,00+,565,179807
2023-W51,05-14,0,41
2023-W51,15-34,3,491
2023-W51,35-59,23,8612
2023-W51,60-79,194,53776
2023-W51,80+,345,116821
2023-W52,00-04,1,55
2023-W52,00+,254,180061
2023-W52,05-14,0,41
2023-W52,15-34,1,492
2023-W52,35-59,15,8627
2023-W52,60-79,80,53856
2023-W52,80+,157,116978
2024-W01,00-04,1,56
2024-W01,00+,480,180541
2024-W01,05-14,1,42
2024-W01,15-34,1,493
2024-W01,35-59,19,8646
2024-W01,60-79,162,54018
2024-W01,80+,296,117274
2024-W02,00-04,1,57
2024-W02,00+,462,181003
2024-W02,05-14,0,42
2024-W02,15-34,0,493
2024-W02,35-59,12,8658
2024-W02,60-79,146,54164
2024-W02,80+,303,117577
2024-W03,00-04,1,58
2024-W03,00+,377,181380
2024-W03,05-14,0,42
2024-W03,15-34,1,494
2024-W03,35-59,16,8674
2024-W03,60-79,123,54287
2024-W03,80+,236,117813
2024-W04,00-04,0,58
2024-W04,00+,275,181655
2024-W04,05-14,1,43
2024-W04,15-34,0,494
2024-W04,35-59,9,8683
2024-W04,60-79,87,54374
2024-W04,80+,178,117991
2024-W05,00-04,0,58
2024-W05,00+,260,181915
2024-W05,05-14,0,43
2024-W05,15-34,0,494
2024-W05,35-59,12,8695
2024-W05,60-79,77,54451
2024-W05,80+,171,118162
2024-W06,00-04,0,58
2024-W06,00+,261,182176
2024-W06,05-14,0,43
2024-W06,15-34,0,494
2024-W06,35-59,9,8704
2024-W06,60-79,81,54532
2024-W06,80+,171,118333
2024-W07,00-04,0,58
2024-W07,00+,160,182336
2024-W07,05-14,1,44
2024-W07,15-34,0,494
2024-W07,35-59,5,8709
2024-W07,60-79,50,54582
2024-W07,80+,104,118437
2024-W08,00-04,0,58
2024-W08,00+,165,182501
2024-W08,05-14,0,44
2024-W08,15-34,0,494
2024-W08,35-59,10,8719
2024-W08,60-79,63,54645
2024-W08,80+,92,118529
2024-W09,00-04,0,58
2024-W09,00+,107,182608
2024-W09,05-14,1,45
2024-W09,15-34,0,494
2024-W09,35-59,5,8724
2024-W09,60-79,29,54674
2024-W09,80+,72,118601
2024-W10,00-04,0,58
2024-W10,00+,86,182694
2024-W10,05-14,0,45
2024-W10,15-34,0,494
2024-W10,35-59,5,8729
2024-W10,60-79,24,54698
2024-W10,80+,57,118658
2024-W11,00-04,0,58
2024-W11,00+,94,182788
2024-W11,05-14,0,45
2024-W11,15-34,0,494
2024-W11,35-59,4,8733
2024-W11,60-79,32,54730
2024-W11,80+,58,118716
2024-W12,00-04,0,58
2024-W12,00+,66,182854
2024-W12,05-14,0,45
2024-W12,15-34,0,494
2024-W12,35-59,4,8737
2024-W12,60-79,21,54751
2024-W12,80+,41,118757
2024-W13,00-04,0,58
2024-W13,00+,50,182904
2024-W13,05-14,0,45
2024-W13,15-34,0,494
2024-W13,35-59,3,8740
2024-W13,60-79,17,54768
2024-W13,80+,30,118787
2024-W14,00-04,0,58
2024-W14,00+,67,182971
2024-W14,05-14,0,45
2024-W14,15-34,0,494
2024-W14,35-59,6,8746
2024-W14,60-79,20,54788
2024-W14,80+,41,118828
2024-W15,00-04,0,58
2024-W15,00+,58,183029
2024-W15,05-14,0,45
2024-W15,15-34,0,494
2024-W15,35-59,3,8749
2024-W15,60-79,23,54811
2024-W15,80+,32,118860
2024-W16,00-04,0,58
2024-W16,00+,40,183069
2024-W16,05-14,0,45
2024-W16,15-34,0,494
2024-W16,35-59,3,8752
2024-W16,60-79,14,54825
2024-W16,80+,23,118883
2024-W17,00-04,0,58
2024-W17,00+,43,183112
2024-W17,05-14,0,45
2024-W17,15-34,1,495
2024-W17,35-59,2,8754
2024-W17,60-79,13,54838
2024-W17,80+,27,118910
2024-W18,00-04,0,58
2024-W18,00+,31,183143
2024-W18,05-14,0,45
2024-W18,15-34,0,495
2024-W18,35-59,1,8755
2024-W18,60-79,14,54852
2024-W18,80+,16,118926
2024-W19,00-04,0,58
2024-W19,00+,12,183155
2024-W19,05-14,0,45
2024-W19,15-34,1,496
2024-W19,35-59,0,8755
2024-W19,60-79,5,54857
2024-W19,80+,6,118932
2024-W20,00-04,0,58
2024-W20,00+,51,183206
2024-W20,05-14,0,45
2024-W20,15-34,0,496
2024-W20,35-59,1,8756
2024-W20,60-79,16,54873
2024-W20,80+,34,118966
2024-W21,00-04,1,59
2024-W21,00+,22,183228
2024-W21,05-14,0,45
2024-W21,15-34,1,497
2024-W21,35-59,0,8756
2024-W21,60-79,7,54880
2024-W21,80+,13,118979
2024-W22,00-04,0,59
2024-W22,00+,20,183248
2024-W22,05-14,0,45
2024-W22,15-34,0,497
2024-W22,35-59,0,8756
2024-W22,60-79,3,54883
2024-W22,80+,17,118996
2024-W23,00-04,0,59
2024-W23,00+,21,183269
2024-W23,05-14,0,45
2024-W23,15-34,0,497
2024-W23,35-59,3,8759
2024-W23,60-79,3,54886
2024-W23,80+,15,119011
2024-W24,00-04,0,59
2024-W24,00+,23,183292
2024-W24,05-14,0,45
2024-W24,15-34,0,497
2024-W24,35-59,0,8759
2024-W24,60-79,9,54895
2024-W24,80+,14,119025
2024-W25,00-04,0,59
2024-W25,00+,18,183310
2024-W25,05-14,0,45
2024-W25,15-34,0,497
2024-W25,35-59,2,8761
2024-W25,60-79,5,54900
2024-W25,80+,11,119036
2024-W26,00-04,1,60
2024-W26,00+,50,183360
2024-W26,05-14,0,45
2024-W26,15-34,0,497
2024-W26,35-59,2,8763
2024-W26,60-79,17,54917
2024-W26,80+,30,119066
2024-W27,00-04,0,60
2024-W27,00+,28,183388
2024-W27,05-14,0,45
2024-W27,15-34,0,497
2024-W27,35-59,4,8767
2024-W27,60-79,8,54925
2024-W27,80+,16,119082
2024-W28,00-04,0,60
2024-W28,00+,43,183431
2024-W28,05-14,0,45
2024-W28,15-34,1,498
2024-W28,35-59,1,8768
2024-W28,60-79,17,54942
2024-W28,80+,24,119106
2024-W29,00-04,1,61
2024-W29,00+,42,183473
2024-W29,05-14,0,45
2024-W29,15-34,0,498
2024-W29,35-59,3,8771
2024-W29,60-79,17,54959
2024-W29,80+,21,119127
2024-W30,00-04,0,61
2024-W30,00+,67,183540
2024-W30,05-14,0,45
2024-W30,15-34,0,498
2024-W30,35-59,4,8775
2024-W30,60-79,21,54980
2024-W30,80+,42,119169
2024-W31,00-04,0,61
2024-W31,00+,59,183599
2024-W31,05-14,0,45
2024-W31,15-34,1,499
2024-W31,35-59,5,8780
2024-W31,60-79,23,55003
2024-W31,80+,30,119199
2024-W32,00-04,0,61
2024-W32,00+,54,183653
2024-W32,05-14,0,45
2024-W32,15-34,0,499
2024-W32,35-59,2,8782
2024-W32,60-79,13,55016
2024-W32,80+,39,119238
2024-W33,00-04,0,61
2024-W33,00+,70,183723
2024-W33,05-14,0,45
2024-W33,15-34,0,499
2024-W33,35-59,2,8784
2024-W33,60-79,19,55035
2024-W33,80+,49,119287
2024-W34,00-04,0,61
2024-W34,00+,71,183794
2024-W34,05-14,0,45
2024-W34,15-34,0,499
2024-W34,35-59,3,8787
2024-W34,60-79,21,55056
2024-W34,80+,47,119334
2024-W35,00-04,1,62
2024-W35,00+,62,183856
2024-W35,05-14,0,45
2024-W35,15-34,0,499
2024-W35,35-59,2,8789
2024-W35,60-79,18,55074
2024-W35,80+,41,119375
2024-W36,00-04,0,62
2024-W36,00+,70,183926
2024-W36,05-14,0,45
2024-W36,15-34,0,499
2024-W36,35-59,3,8792
2024-W36,60-79,24,55098
2024-W36,80+,43,119418
2024-W37,00-04,0,62
2024-W37,00+,68,183994
2024-W37,05-14,0,45
2024-W37,15-34,0,499
2024-W37,35-59,5,8797
2024-W37,60-79,16,55114
2024-W37,80+,47,119465
2024-W38,00-04,0,62
2024-W38,00+,81,184075
2024-W38,05-14,0,45
2024-W38,15-34,0,499
2024-W38,35-59,3,8800
2024-W38,60-79,27,55141
2024-W38,80+,51,119516
2024-W39,00-04,0,62
2024-W39,00+,87,184162
2024-W39,05-14,0,45
2024-W39,15-34,0,499
2024-W39,35-59,4,8804
2024-W39,60-79,22,55163
2024-W39,80+,61,119577
2024-W40,00-04,0,62
2024-W40,00+,76,184238
2024-W40,05-14,0,45
2024-W40,15-34,0,499
2024-W40,35-59,5,8809
2024-W40,60-79,17,55180
2024-W40,80+,54,119631
2024-W41,00-04,0,62
2024-W41,00+,129,184367
2024-W41,05-14,0,45
2024-W41,15-34,1,500
2024-W41,35-59,4,8813
2024-W41,60-79,31,55211
2024-W41,80+,93,119724
2024-W42,00-04,0,62
2024-W42,00+,158,184525
2024-W42,05-14,0,45
2024-W42,15-34,0,500
2024-W42,35-59,4,8817
2024-W42,60-79,50,55261
2024-W42,80+,104,119828
2024-W43,00-04,1,63
2024-W43,00+,188,184713
2024-W43,05-14,0,45
2024-W43,15-34,0,500
2024-W43,35-59,7,8824
2024-W43,60-79,67,55328
2024-W43,80+,113,119941
2024-W44,00-04,0,63
2024-W44,00+,171,184884
2024-W44,05-14,0,45
2024-W44,15-34,0,500
2024-W44,35-59,3,8827
2024-W44,60-79,66,55394
2024-W44,80+,102,120043
2024-W45,00-04,0,63
2024-W45,00+,198,185082
2024-W45,05-14,0,45
2024-W45,15-34,1,501
2024-W45,35-59,6,8833
2024-W45,60-79,59,55453
2024-W45,80+,132,120175
2024-W46,00-04,0,63
2024-W46,00+,230,185312
2024-W46,05-14,0,45
2024-W46,15-34,2,503
2024-W46,35-59,9,8842
2024-W46,60-79,66,55519
2024-W46,80+,153,120328
2024-W47,00-04,0,63
2024-W47,00+,189,185501
2024-W47,05-14,0,45
2024-W47,15-34,0,503
2024-W47,35-59,4,8846
2024-W47,60-79,67,55586
2024-W47,80+,118,120446
2024-W48,00-04,0,63
2024-W48,00+,196,185697
2024-W48,05-14,0,45
2024-W48,15-34,1,504
2024-W48,35-59,9,8855
2024-W48,60-79,59,55645
2024-W48,80+,127,120573
2024-W49,00-04,0,63
2024-W49,00+,165,185862
2024-W49,05-14,0,45
2024-W49,15-34,1,505
2024-W49,35-59,6,8861
2024-W49,60-79,55,55700
2024-W49,80+,103,120676
2024-W50,00-04,0,63
2024-W50,00+,198,186060
2024-W50,05-14,0,45
2024-W50,15-34,1,506
2024-W50,35-59,7,8868
2024-W50,60-79,52,55752
2024-W50,80+,138,120814
2024-W51,00-04,0,63
2024-W51,00+,162,186222
2024-W51,05-14,0,45
2024-W51,15-34,0,506
2024-W51,35-59,7,8875
2024-W51,60-79,56,55808
2024-W51,80+,99,120913
2024-W52,00-04,0,63
2024-W52,00+,39,186261
2024-W52,05-14,0,45
2024-W52,15-34,0,506
2024-W52,35-59,1,8876
2024-W52,60-79,11,55819
2024-W52,80+,27,120940
2025-W01,00-04,0,63
2025-W01,00+,121,186382
2025-W01,05-14,0,45
2025-W01,15-34,0,506
2025-W01,35-59,5,8881
2025-W01,60-79,39,55858
2025-W01,80+,77,121017
2025-W02,00-04,1,64
2025-W02,00+,172,186554
2025-W02,05-14,0,45
2025-W02,15-34,1,507
2025-W02,35-59,4,8885
2025-W02,60-79,50,55908
2025-W02,80+,116,121133
2025-W03,00-04,0,64
2025-W03,00+,164,186718
2025-W03,05-14,0,45
2025-W03,15-34,1,508
2025-W03,35-59,6,8891
2025-W03,60-79,53,55961
2025-W03,80+,104,121237
2025-W04,00-04,0,64
2025-W04,00+,131,186849
2025-W04,05-14,0,45
2025-W04,15-34,0,508
2025-W04,35-59,6,8897
2025-W04,60-79,42,56003
2025-W04,80+,83,121320
2025-W05,00-04,0,64
2025-W05,00+,118,186967
2025-W05,05-14,0,45
2025-W05,15-34,0,508
2025-W05,35-59,1,8898
2025-W05,60-79,40,56043
2025-W05,80+,77,121397
2025-W06,00-04,0,64
2025-W06,00+,92,187059
2025-W06,05-14,0,45
2025-W06,15-34,0,508
2025-W06,35-59,6,8904
2025-W06,60-79,25,56068
2025-W06,80+,61,121458
2025-W07,00-04,0,64
2025-W07,00+,91,187150
2025-W07,05-14,0,45
2025-W07,15-34,1,509
2025-W07,35-59,5,8909
2025-W07,60-79,30,56098
2025-W07,80+,55,121513
2025-W08,00-04,0,64
2025-W08,00+,69,187219
2025-W08,05-14,0,45
2025-W08,15-34,0,509
2025-W08,35-59,3,8912
2025-W08,60-79,17,56115
2025-W08,80+,49,121562
2025-W09,00-04,0,64
2025-W09,00+,51,187270
2025-W09,05-14,0,45
2025-W09,15-34,0,509
2025-W09,35-59,3,8915
2025-W09,60-79,16,56131
2025-W09,80+,32,121594
2025-W10,00-04,0,64
2025-W10,00+,92,187362
2025-W10,05-14,0,45
2025-W10,15-34,0,509
2025-W10,35-59,6,8921
2025-W10,60-79,24,56155
2025-W10,80+,62,121656
2025-W11,00-04,0,64
2025-W11,00+,36,187398
2025-W11,05-14,0,45
2025-W11,15-34,0,509
2025-W11,35-59,1,8922
2025-W11,60-79,18,56173
2025-W11,80+,17,121673
2025-W12,00-04,0,64
2025-W12,00+,32,187430
2025-W12,05-14,0,45
2025-W12,15-34,0,509
2025-W12,35-59,0,8922
2025-W12,60-79,10,56183
2025-W12,80+,22,121695
2025-W13,00-04,0,64
2025-W13,00+,34,187464
2025-W13,05-14,0,45
2025-W13,15-34,0,509
2025-W13,35-59,2,8924
2025-W13,60-79,13,56196
2025-W13,80+,19,121714
2025-W14,00-04,0,64
2025-W14,00+,45,187509
2025-W14,05-14,0,45
2025-W14,15-34,0,509
2025-W14,35-59,3,8927
2025-W14,60-79,12,56208
2025-W14,80+,30,121744
2025-W15,00-04,0,64
2025-W15,00+,25,187534
2025-W15,05-14,0,45
2025-W15,15-34,0,509
2025-W15,35-59,0,8927
2025-W15,60-79,10,56218
2025-W15,80+,15,121759
2025-W16,00-04,0,64
2025-W16,00+,66,187600
2025-W16,05-14,0,45
2025-W16,15-34,0,509
2025-W16,35-59,4,8931
2025-W16,60-79,21,56239
2025-W16,80+,41,121800
2025-W17,00-04,0,64
2025-W17,00+,14,187614
2025-W17,05-14,0,45
2025-W17,15-34,0,509
2025-W17,35-59,1,8932
2025-W17,60-79,5,56244
2025-W17,80+,8,121808
2025-W18,00-04,0,64
2025-W18,00+,18,187632
2025-W18,05-14,0,45
2025-W18,15-34,0,509
2025-W18,35-59,2,8934
2025-W18,60-79,4,56248
2025-W18,80+,12,121820
2025-W19,00-04,0,64
2025-W19,00+,16,187648
2025-W19,05-14,0,45
2025-W19,15-34,0,509
2025-W19,35-59,1,8935
2025-W19,60-79,6,56254
2025-W19,80+,9,121829
2025-W20,00-04,0,64
2025-W20,00+,10,187658
2025-W20,05-14,0,45
2025-W20,15-34,0,509
2025-W20,35-59,0,8935
2025-W20,60-79,5,56259
2025-W20,80+,5,121834
2025-W21,00-04,0,64
2025-W21,00+,16,187674
2025-W21,05-14,0,45
2025-W21,15-34,1,510
2025-W21,35-59,2,8937
2025-W21,60-79,5,56264
2025-W21,80+,8,121842
