Datum,Altersgruppe,Todesfaelle,Todesfaelle_gesamt
2020-W39,00-04,0,1
2020-W39,00+,69,9377
2020-W39,05-14,0,0
2020-W39,15-34,0,19
2020-W39,35-59,3,444
2020-W39,60-79,25,3030
2020-W39,80+,41,5883
2020-W40,00-04,0,1
2020-W40,00+,72,9449
2020-W40,05-14,0,0
2020-W40,15-34,0,19
2020-W40,35-59,7,451
2020-W40,60-79,16,3046
2020-W40,80+,49,5932
2020-W41,00-04,0,1
2020-W41,00+,88,9537
2020-W41,05-14,0,0
2020-W41,15-34,1,20
2020-W41,35-59,6,457
2020-W41,60-79,32,3078
2020-W41,80+,49,5981
2020-W42,00-04,0,1
2020-W42,00+,158,9695
2020-W42,05-14,0,0
2020-W42,15-34,1,21
2020-W42,35-59,8,465
2020-W42,60-79,41,3119
2020-W42,80+,108,6089
2020-W43,00-04,0,1
2020-W43,00+,250,9945
2020-W43,05-14,0,0
2020-W43,15-34,1,22
2020-W43,35-59,6,471
2020-W43,60-79,65,3184
2020-W43,80+,178,6267
2020-W44,00-04,0,1
2020-W44,00+,451,10396
2020-W44,05-14,1,1
2020-W44,15-34,0,22
2020-W44,35-59,17,488
2020-W44,60-79,122,3306
2020-W44,80+,311,6578
2020-W45,00-04,0,1
2020-W45,00+,802,11198
2020-W45,05-14,0,1
2020-W45,15-34,1,23
2020-W45,35-59,33,521
2020-W45,60-79,217,3523
2020-W45,80+,551,7129
2020-W46,00-04,0,1
2020-W46,00+,1198,12396
2020-W46,05-14,0,1
2020-W46,15-34,1,24
2020-W46,35-59,44,565
2020-W46,60-79,303,3826
2020-W46,80+,850,7979
2020-W47,00-04,0,1
2020-W47,00+,1527,13923
2020-W47,05-14,0,1
2020-W47,15-34,6,30
2020-W47,35-59,49,614
2020-W47,60-79,415,4241
2020-W47,80+,1057,9036
2020-W48,00-04,0,1
2020-W48,00+,2083,16006
2020-W48,05-14,0,1
2020-W48,15-34,1,31
2020-W48,35-59,76,690
2020-W48,60-79,564,4805
2020-W48,80+,1442,10478
2020-W49,00-04,0,1
2020-W49,00+,2646,18652
2020-W49,05-14,0,1
2020-W49,15-34,4,35
2020-W49,35-59,63,753
2020-W49,60-79,702,5507
2020-W49,80+,1876,12354
2020-W50,00-04,1,2
2020-W50,00+,2982,21634
2020-W50,05-14,1,2
2020-W50,15-34,4,39
2020-W50,35-59,85,838
2020-W50,60-79,762,6269
2020-W50,80+,2129,14483
2020-W51,00-04,0,2
2020-W51,00+,4244,25878
2020-W51,05-14,2,4
2020-W51,15-34,4,43
2020-W51,35-59,118,956
2020-W51,60-79,1077,7346
2020-W51,80+,3043,17526
2020-W52,00-04,0,2
2020-W52,00+,3703,29581
2020-W52,05-14,0,4
2020-W52,15-34,5,48
2020-W52,35-59,104,1060
2020-W52,60-79,920,8266
2020-W52,80+,2674,20200
2020-W53,00-04,0,2
2020-W53,00+,4471,34052
2020-W53,05-14,0,4
2020-W53,15-34,2,50
2020-W53,35-59,124,1184
2020-W53,60-79,1118,9384
2020-W53,80+,3227,23427
2021-W01,00-04,2,4
2021-W01,00+,6027,40079
2021-W01,05-14,0,4
2021-W01,15-34,4,54
2021-W01,35-59,157,1341
2021-W01,60-79,1489,10873
2021-W01,80+,4375,27802
2021-W02,00-04,0,4
2021-W02,00+,6045,46124
2021-W02,05-14,0,4
2021-W02,15-34,6,60
2021-W02,35-59,149,1490
2021-W02,60-79,1537,12410
2021-W02,80+,4353,32155
2021-W03,00-04,0,4
2021-W03,00+,5402,51526
2021-W03,05-14,0,4
2021-W03,15-34,5,65
2021-W03,35-59,177,1667
2021-W03,60-79,1366,13776
2021-W03,80+,3854,36009
2021-W04,00-04,0,4
2021-W04,00+,5020,56546
2021-W04,05-14,0,4
2021-W04,15-34,4,69
2021-W04,35-59,116,1783
2021-W04,60-79,1292,15068
2021-W04,80+,3608,39617
2021-W05,00-04,0,4
2021-W05,00+,4518,61064
2021-W05,05-14,0,4
2021-W05,15-34,5,74
2021-W05,35-59,141,1924
2021-W05,60-79,1204,16272
2021-W05,80+,3167,42784
2021-W06,00-04,0,4
2021-W06,00+,3429,64493
2021-W06,05-14,0,4
2021-W06,15-34,2,76
2021-W06,35-59,103,2027
2021-W06,60-79,937,17209
2021-W06,80+,2386,45170
2021-W07,00-04,0,4
2021-W07,00+,2932,67425
2021-W07,05-14,1,5
2021-W07,15-34,4,80
2021-W07,35-59,103,2130
2021-W07,60-79,822,18031
2021-W07,80+,2002,47172
2021-W08,00-04,0,4
2021-W08,00+,2255,69680
2021-W08,05-14,0,5
2021-W08,15-34,4,84
2021-W08,35-59,70,2200
2021-W08,60-79,636,18667
2021-W08,80+,1545,48717
2021-W09,00-04,0,4
2021-W09,00+,1856,71536
2021-W09,05-14,0,5
2021-W09,15-34,1,85
2021-W09,35-59,90,2290
2021-W09,60-79,586,19253
2021-W09,80+,1179,49896
2021-W10,00-04,0,4
2021-W10,00+,1494,73030
2021-W10,05-14,0,5
2021-W10,15-34,6,91
2021-W10,35-59,56,2346
2021-W10,60-79,476,19729
2021-W10,80+,956,50852
2021-W11,00-04,1,5
2021-W11,00+,1282,74312
2021-W11,05-14,0,5
2021-W11,15-34,7,98
2021-W11,35-59,75,2421
2021-W11,60-79,431,20160
2021-W11,80+,768,51620
2021-W12,00-04,1,6
2021-W12,00+,1197,75509
2021-W12,05-14,0,5
2021-W12,15-34,4,102
2021-W12,35-59,82,2503
2021-W12,60-79,421,20581
2021-W12,80+,689,52309
2021-W13,00-04,0,6
2021-W13,00+,1086,76595
2021-W13,05-14,0,5
2021-W13,15-34,5,107
2021-W13,35-59,71,2574
2021-W13,60-79,365,20946
2021-W13,80+,645,52954
2021-W14,00-04,0,6
2021-W14,00+,1384,77979
2021-W14,05-14,0,5
2021-W14,15-34,7,114
2021-W14,35-59,117,2691
2021-W14,60-79,531,21477
2021-W14,80+,729,53683
2021-W15,00-04,0,6
2021-W15,00+,1553,79532
2021-W15,05-14,0,5
2021-W15,15-34,6,120
2021-W15,35-59,113,2804
2021-W15,60-79,637,22114
2021-W15,80+,797,54480
2021-W16,00-04,0,6
2021-W16,00+,1656,81188
2021-W16,05-14,0,5
2021-W16,15-34,6,126
2021-W16,35-59,150,2954
2021-W16,60-79,704,22818
2021-W16,80+,796,55276
2021-W17,00-04,0,6
2021-W17,00+,1629,82817
2021-W17,05-14,0,5
2021-W17,15-34,8,134
2021-W17,35-59,128,3082
2021-W17,60-79,749,23567
2021-W17,80+,743,56019
2021-W18,00-04,1,7
2021-W18,00+,1601,84418
2021-W18,05-14,0,5
2021-W18,15-34,10,144
2021-W18,35-59,145,3227
2021-W18,60-79,680,24247
2021-W18,80+,765,56784
